date,total_customer_count,fixed_customer_count,fixed_customer_ratio
2025-05-24,56,36,0.642857
2025-05-25,31,16,0.516129
2025-05-26,53,34,0.641509
2025-05-27,64,50,0.78125
2025-05-28,51,36,0.705882
2025-05-29,61,44,0.721311
2025-05-30,60,44,0.733333
2025-05-31,48,36,0.75
2025-06-01,25,15,0.6
2025-06-02,43,29,0.674419
2025-06-03,63,38,0.603175
2025-06-04,57,30,0.526316
2025-06-05,56,32,0.571429
2025-06-06,58,34,0.586207
2025-06-07,46,32,0.695652
2025-06-09,51,28,0.54902
2025-06-10,60,35,0.583333
2025-06-11,53,30,0.566038
2025-06-12,66,36,0.545455
2025-06-13,63,35,0.555556
2025-06-14,57,33,0.578947
2025-06-15,23,14,0.608696
2025-06-16,46,28,0.608696
2025-06-17,62,34,0.548387
2025-06-18,59,31,0.525424
2025-06-19,58,33,0.568966
2025-06-20,62,37,0.596774
2025-06-21,53,32,0.603774
2025-06-22,22,15,0.681818
2025-06-23,54,30,0.555556
2025-06-24,70,34,0.485714
2025-06-25,59,31,0.525424
2025-06-26,66,33,0.5
2025-06-27,62,35,0.564516
2025-06-28,52,30,0.576923
2025-06-29,28,15,0.535714
2025-06-30,49,30,0.612245
2025-07-01,61,35,0.57377
2025-07-02,46,31,0.673913
2025-07-03,60,33,0.55
2025-07-04,54,35,0.648148
2025-07-05,45,31,0.688889
2025-07-06,25,14,0.56
2025-07-07,50,28,0.56
2025-07-08,65,36,0.553846
2025-07-09,53,32,0.603774
2025-07-10,52,33,0.634615
2025-07-11,58,36,0.62069
2025-07-12,44,31,0.704545
2025-07-14,51,30,0.588235
2025-07-15,61,36,0.590164
2025-07-16,50,29,0.58
2025-07-17,68,34,0.5
2025-07-18,58,37,0.637931
2025-07-19,53,32,0.603774
2025-07-20,27,15,0.555556
2025-07-21,41,26,0.634146
2025-07-22,50,24,0.48
2025-07-23,55,30,0.545455
2025-07-24,58,33,0.568966
2025-07-25,59,34,0.576271
2025-07-26,53,32,0.603774
2025-07-27,26,17,0.653846
2025-07-28,51,28,0.54902
2025-07-29,61,35,0.57377
2025-07-30,62,32,0.516129
2025-07-31,61,33,0.540984
2025-08-01,65,34,0.523077
2025-08-02,48,30,0.625
2025-08-03,25,14,0.56
2025-08-04,54,29,0.537037
2025-08-05,69,36,0.521739
2025-08-06,56,30,0.535714
2025-08-07,62,34,0.548387
2025-08-08,71,37,0.521127
2025-08-09,58,32,0.551724
2025-08-10,21,12,0.571429
